microcosm_id,composition,day,CS,TP,PT
CS_TP_22C_1,CS_TP,18,37.5,6428.767,
CS_TP_22C_2,CS_TP,18,20,6156.85,
CS_TP_22C_3,CS_TP,18,25,6112,
CS_TP_22F_1,CS_TP,18,27.5,6181.667,
CS_TP_22F_2,CS_TP,18,25,6148.45,
CS_TP_22F_3,CS_TP,18,25,5956.6,
CS_TP_26C_1,CS_TP,18,2.5,6279.7,
CS_TP_26C_2,CS_TP,18,5,6000.667,
CS_TP_26C_3,CS_TP,18,5,6281.583,
CS_TP_26F_1,CS_TP,18,2.5,5944,
CS_TP_26F_2,CS_TP,18,2.5,6224.608,
CS_TP_26F_3,CS_TP,18,5,6105.967,
CS_TP_22C_1,CS_TP,20,22.5,6058.65,
CS_TP_22C_2,CS_TP,20,25,6109.35,
CS_TP_22C_3,CS_TP,20,20,6074.667,
CS_TP_22F_1,CS_TP,20,7.5,3701.142,
CS_TP_22F_2,CS_TP,20,10,3680.217,
CS_TP_22F_3,CS_TP,20,5,3900.367,
CS_TP_26C_1,CS_TP,20,0,6874.875,
CS_TP_26C_2,CS_TP,20,10,7042.5,
CS_TP_26C_3,CS_TP,20,7.5,6899.25,
CS_TP_26F_1,CS_TP,20,0,4611.333,
CS_TP_26F_2,CS_TP,20,0,5185.817,
CS_TP_26F_3,CS_TP,20,0,5077.167,
CS_TP_22C_1,CS_TP,22,22.5,7102.4,
CS_TP_22C_2,CS_TP,22,35,7112.75,
CS_TP_22C_3,CS_TP,22,22.5,7585.2,
CS_TP_22F_1,CS_TP,22,10,4243.05,
CS_TP_22F_2,CS_TP,22,20,4411.558,
CS_TP_22F_3,CS_TP,22,15,4218.3,
CS_TP_26C_1,CS_TP,22,15,7983.733,
CS_TP_26C_2,CS_TP,22,17.5,8059.7,
CS_TP_26C_3,CS_TP,22,10,7896.25,
CS_TP_26F_1,CS_TP,22,7.5,5579.4,
CS_TP_26F_2,CS_TP,22,0,5674.667,
CS_TP_26F_3,CS_TP,22,10,5569.533,
CS_PT_22C_1,CS_PT,18,550.333,,22.5
CS_PT_22C_2,CS_PT,18,596.758,,31.408
CS_PT_22C_3,CS_PT,18,598.5,,20
CS_PT_22F_1,CS_PT,18,542.833,,27.142
CS_PT_22F_2,CS_PT,18,617.65,,32.5
CS_PT_22F_3,CS_PT,18,592.2,,28.2
CS_PT_26C_1,CS_PT,18,17.5,,485.1
CS_PT_26C_2,CS_PT,18,27.5,,475.867
CS_PT_26C_3,CS_PT,18,17.5,,490.733
CS_PT_26F_1,CS_PT,18,17.5,,476.533
CS_PT_26F_2,CS_PT,18,12.5,,493.683
CS_PT_26F_3,CS_PT,18,22.5,,434
CS_PT_22C_1,CS_PT,20,727.8,,10
CS_PT_22C_2,CS_PT,20,683.483,,7.5
CS_PT_22C_3,CS_PT,20,769.383,,12.5
CS_PT_22F_1,CS_PT,20,377.5,,0
CS_PT_22F_2,CS_PT,20,407.625,,5
CS_PT_22F_3,CS_PT,20,363.65,,5
CS_PT_26C_1,CS_PT,20,20,,531.3
CS_PT_26C_2,CS_PT,20,25,,551.2
CS_PT_26C_3,CS_PT,20,25,,500.8
CS_PT_26F_1,CS_PT,20,7.5,,215
CS_PT_26F_2,CS_PT,20,12.5,,225
CS_PT_26F_3,CS_PT,20,20,,245
CS_PT_22C_1,CS_PT,22,703.333,,5
CS_PT_22C_2,CS_PT,22,668.6,,7.5
CS_PT_22C_3,CS_PT,22,723.125,,5
CS_PT_22F_1,CS_PT,22,819.008,,5
CS_PT_22F_2,CS_PT,22,728.958,,2.5
CS_PT_22F_3,CS_PT,22,551.6,,0
CS_PT_26C_1,CS_PT,22,30,,478.25
CS_PT_26C_2,CS_PT,22,27.5,,459.25
CS_PT_26C_3,CS_PT,22,30,,474.8
CS_PT_26F_1,CS_PT,22,25,,448
CS_PT_26F_2,CS_PT,22,25,,421.175
CS_PT_26F_3,CS_PT,22,22.5,,451.375
TP_PT_22C_1,TP_PT,18,,9311.65,37.5
TP_PT_22C_2,TP_PT,18,,9047.317,37.5
TP_PT_22C_3,TP_PT,18,,9044.208,30
TP_PT_22F_1,TP_PT,18,,8418.2,22.5
TP_PT_22F_2,TP_PT,18,,8724.167,32.5
TP_PT_22F_3,TP_PT,18,,8749.975,32.5
TP_PT_26C_1,TP_PT,18,,7231.583,210
TP_PT_26C_2,TP_PT,18,,6753.183,192.5
TP_PT_26C_3,TP_PT,18,,6762.433,267.5
TP_PT_26F_1,TP_PT,18,,6929.625,157.5
TP_PT_26F_2,TP_PT,18,,6449,250
TP_PT_26F_3,TP_PT,18,,7608.883,205
TP_PT_22C_1,TP_PT,20,,10975.8,52.5
TP_PT_22C_2,TP_PT,20,,10948.583,62.5
TP_PT_22C_3,TP_PT,20,,10225.067,62.5
TP_PT_22F_1,TP_PT,20,,6638.1,17.5
TP_PT_22F_2,TP_PT,20,,6689.025,25
TP_PT_22F_3,TP_PT,20,,6238.375,20
TP_PT_26C_1,TP_PT,20,,7407.917,232.5
TP_PT_26C_2,TP_PT,20,,7433.8,220
TP_PT_26C_3,TP_PT,20,,7065.6,275
TP_PT_26F_1,TP_PT,20,,3408.708,87.5
TP_PT_26F_2,TP_PT,20,,3420.433,140
TP_PT_26F_3,TP_PT,20,,3630.275,87.5
TP_PT_22C_1,TP_PT,22,,10303.425,60
TP_PT_22C_2,TP_PT,22,,10630.2,62.5
TP_PT_22C_3,TP_PT,22,,11886,45
TP_PT_22F_1,TP_PT,22,,9133.3,67.5
TP_PT_22F_2,TP_PT,22,,8224.667,45
TP_PT_22F_3,TP_PT,22,,8756.15,62.5
TP_PT_26C_1,TP_PT,22,,8105.5,245
TP_PT_26C_2,TP_PT,22,,7966.225,419.275
TP_PT_26C_3,TP_PT,22,,7974.517,274.983
TP_PT_26F_1,TP_PT,22,,4434.133,265
TP_PT_26F_2,TP_PT,22,,4208.325,382.575
TP_PT_26F_3,TP_PT,22,,4485.167,395.75
TP_CS_PT_22C_1,TP_CS_PT,18,257.5,8541.467,2.5
TP_CS_PT_22C_2,TP_CS_PT,18,252.5,8092.792,5
TP_CS_PT_22C_3,TP_CS_PT,18,295,8461.6,5
TP_CS_PT_22F_1,TP_CS_PT,18,330,8636.133,2.5
TP_CS_PT_22F_2,TP_CS_PT,18,337.5,8629.133,7.5
TP_CS_PT_22F_3,TP_CS_PT,18,307.5,8295.375,10
TP_CS_PT_26C_1,TP_CS_PT,18,5,6812.4,195
TP_CS_PT_26C_2,TP_CS_PT,18,12.5,6719.9,155
TP_CS_PT_26C_3,TP_CS_PT,18,7.5,6552.317,137.5
TP_CS_PT_26F_1,TP_CS_PT,18,10,6671.65,152.5
TP_CS_PT_26F_2,TP_CS_PT,18,5,6715.233,157.5
TP_CS_PT_26F_3,TP_CS_PT,18,10,6795.417,162.5
TP_CS_PT_22C_1,TP_CS_PT,20,538.933,8353.467,7.5
TP_CS_PT_22C_2,TP_CS_PT,20,540.767,8517.075,5
TP_CS_PT_22C_3,TP_CS_PT,20,540.833,8247.708,10
TP_CS_PT_22F_1,TP_CS_PT,20,307.5,6091.1,0
TP_CS_PT_22F_2,TP_CS_PT,20,309.525,5984.15,5
TP_CS_PT_22F_3,TP_CS_PT,20,195.933,6073.933,7.5
TP_CS_PT_26C_1,TP_CS_PT,20,17.5,7195.5,200
TP_CS_PT_26C_2,TP_CS_PT,20,12.5,6972,167.5
TP_CS_PT_26C_3,TP_CS_PT,20,12.5,6675.033,257.5
TP_CS_PT_26F_1,TP_CS_PT,20,7.5,4623.85,105
TP_CS_PT_26F_2,TP_CS_PT,20,12.5,4485.833,107.5
TP_CS_PT_26F_3,TP_CS_PT,20,12.5,4594.2,65
TP_CS_PT_22C_1,TP_CS_PT,22,549.867,8797.867,10
TP_CS_PT_22C_2,TP_CS_PT,22,438.775,9068.017,7.5
TP_CS_PT_22C_3,TP_CS_PT,22,433.875,8822.125,5
TP_CS_PT_22F_1,TP_CS_PT,22,537.1,8593.6,5
TP_CS_PT_22F_2,TP_CS_PT,22,412.175,8380.892,5
TP_CS_PT_22F_3,TP_CS_PT,22,519,8174.25,2.5
TP_CS_PT_26C_1,TP_CS_PT,22,12.5,6811.475,267.117
TP_CS_PT_26C_2,TP_CS_PT,22,10,6221.6,255
TP_CS_PT_26C_3,TP_CS_PT,22,15,6715.858,274.117
TP_CS_PT_26F_1,TP_CS_PT,22,0,4687.475,120.192
TP_CS_PT_26F_2,TP_CS_PT,22,5,4595.15,120.925
TP_CS_PT_26F_3,TP_CS_PT,22,5,5176.25,210
